,Name,Year,count,mean,min,25%,50%,75%,max,std
0,ISLES OF SCILLY,2001,18.0,178694.44444444444,22500.0,115750.0,180000.0,217125.0,350000.0,84105.35040840304
1,ISLES OF SCILLY,2002,16.0,224906.25,80000.0,161250.0,225000.0,257500.0,475000.0,105178.92988458603
2,ISLES OF SCILLY,2003,28.0,300502.14285714284,31735.0,200000.0,300625.0,420218.75,550000.0,141244.56800062273
3,ISLES OF SCILLY,2004,25.0,280069.0,37725.0,202500.0,287500.0,342000.0,533000.0,125360.4896222623
4,ISLES OF SCILLY,2005,15.0,305616.6666666667,158000.0,248750.0,280000.0,352500.0,490000.0,91015.24924559673
5,ISLES OF SCILLY,2006,26.0,383176.3461538461,148000.0,277500.0,405000.0,473750.0,750000.0,141364.7080678745
6,ISLES OF SCILLY,2007,21.0,392476.1904761905,185000.0,250000.0,350000.0,430000.0,1375000.0,256464.54317266142
7,ISLES OF SCILLY,2008,8.0,335000.0,185000.0,230000.0,285000.0,398750.0,650000.0,151233.02738300443
8,ISLES OF SCILLY,2009,14.0,393071.4285714286,180000.0,232500.0,330000.0,491250.0,760000.0,185233.10232731674
9,ISLES OF SCILLY,2010,11.0,342727.2727272727,183000.0,216500.0,305000.0,420000.0,659000.0,149100.02743734885
10,ISLES OF SCILLY,2011,17.0,340388.29411764705,175000.0,220000.0,335000.0,420000.0,720000.0,144768.11330355378
11,ISLES OF SCILLY,2012,13.0,365076.92307692306,233500.0,325000.0,340000.0,377500.0,735000.0,126507.05615265205
12,ISLES OF SCILLY,2013,12.0,330245.8333333333,125000.0,232000.0,292500.0,399375.0,625000.0,146498.1468364537
13,ISLES OF SCILLY,2014,20.0,289625.0,62500.0,198750.0,241250.0,385625.0,550000.0,127419.20814878406
14,ISLES OF SCILLY,2015,21.0,335976.0,39500.0,225000.0,275000.0,345000.0,1555496.0,299252.4003178588
15,ISLES OF SCILLY,2016,31.0,350806.4516129032,100000.0,208000.0,345000.0,425000.0,980000.0,190509.39073176746
16,ISLES OF SCILLY,2017,14.0,364644.4285714286,95000.0,236250.0,307500.0,397500.0,1100000.0,251806.70096317143
