,Name,Price,Date of Transfer,Year,Month,Day,Property Type,Area (sq km),est_pop
4766901,ISLES OF SCILLY,80000,2001-10-15,2001,10,15,S,16.3177,2140.0
4766902,ISLES OF SCILLY,330000,2001-11-01,2001,11,1,T,16.3177,2140.0
4766903,ISLES OF SCILLY,190000,2001-11-18,2001,11,18,D,16.3177,2140.0
4766904,ISLES OF SCILLY,216000,2001-12-06,2001,12,6,F,16.3177,2140.0
4766905,ISLES OF SCILLY,200000,2001-03-15,2001,3,15,D,16.3177,2140.0
4766906,ISLES OF SCILLY,165000,2001-12-07,2001,12,7,F,16.3177,2140.0
4766907,ISLES OF SCILLY,180000,2001-12-17,2001,12,17,F,16.3177,2140.0
4766908,ISLES OF SCILLY,270000,2001-02-23,2001,2,23,T,16.3177,2140.0
4766909,ISLES OF SCILLY,118000,2001-08-31,2001,8,31,D,16.3177,2140.0
4766910,ISLES OF SCILLY,180000,2001-10-22,2001,10,22,F,16.3177,2140.0
4766911,ISLES OF SCILLY,95000,2001-03-01,2001,3,1,F,16.3177,2140.0
4766912,ISLES OF SCILLY,217500,2001-03-21,2001,3,21,T,16.3177,2140.0
4766913,ISLES OF SCILLY,160000,2001-11-30,2001,11,30,F,16.3177,2140.0
4766914,ISLES OF SCILLY,22500,2001-02-22,2001,2,22,T,16.3177,2140.0
4766915,ISLES OF SCILLY,220000,2001-09-07,2001,9,7,S,16.3177,2140.0
4766916,ISLES OF SCILLY,350000,2001-11-01,2001,11,1,D,16.3177,2140.0
4766917,ISLES OF SCILLY,107500,2001-05-18,2001,5,18,F,16.3177,2140.0
4766918,ISLES OF SCILLY,115000,2001-07-24,2001,7,24,F,16.3177,2140.0
4766919,ISLES OF SCILLY,175000,2002-08-29,2002,8,29,F,16.3177,2140.0
4766920,ISLES OF SCILLY,225000,2002-09-30,2002,9,30,F,16.3177,2140.0
4766921,ISLES OF SCILLY,110500,2002-09-23,2002,9,23,F,16.3177,2140.0
4766922,ISLES OF SCILLY,250000,2002-04-05,2002,4,5,S,16.3177,2140.0
4766923,ISLES OF SCILLY,248000,2002-11-20,2002,11,20,T,16.3177,2140.0
4766924,ISLES OF SCILLY,230000,2002-04-19,2002,4,19,D,16.3177,2140.0
4766925,ISLES OF SCILLY,475000,2002-11-07,2002,11,7,D,16.3177,2140.0
4766926,ISLES OF SCILLY,80000,2002-03-08,2002,3,8,F,16.3177,2140.0
4766927,ISLES OF SCILLY,200000,2002-07-31,2002,7,31,F,16.3177,2140.0
4766928,ISLES OF SCILLY,165000,2002-11-29,2002,11,29,F,16.3177,2140.0
4766929,ISLES OF SCILLY,150000,2002-05-24,2002,5,24,S,16.3177,2140.0
4766930,ISLES OF SCILLY,300000,2002-06-05,2002,6,5,T,16.3177,2140.0
4766931,ISLES OF SCILLY,225000,2002-11-28,2002,11,28,F,16.3177,2140.0
4766932,ISLES OF SCILLY,395000,2002-12-19,2002,12,19,D,16.3177,2140.0
4766933,ISLES OF SCILLY,280000,2002-12-20,2002,12,20,F,16.3177,2140.0
4766934,ISLES OF SCILLY,90000,2002-10-31,2002,10,31,F,16.3177,2140.0
4766935,ISLES OF SCILLY,200000,2003-09-02,2003,9,2,D,16.3177,2140.0
4766936,ISLES OF SCILLY,400000,2003-01-31,2003,1,31,T,16.3177,2140.0
4766937,ISLES OF SCILLY,65000,2003-02-03,2003,2,3,F,16.3177,2140.0
4766938,ISLES OF SCILLY,516000,2003-01-07,2003,1,7,D,16.3177,2140.0
4766939,ISLES OF SCILLY,31735,2003-02-18,2003,2,18,D,16.3177,2140.0
4766940,ISLES OF SCILLY,430000,2003-06-04,2003,6,4,D,16.3177,2140.0
4766941,ISLES OF SCILLY,418625,2003-09-30,2003,9,30,S,16.3177,2140.0
4766942,ISLES OF SCILLY,365000,2003-11-03,2003,11,3,T,16.3177,2140.0
4766943,ISLES OF SCILLY,150000,2003-02-28,2003,2,28,F,16.3177,2140.0
4766944,ISLES OF SCILLY,200000,2003-05-30,2003,5,30,F,16.3177,2140.0
4766945,ISLES OF SCILLY,301250,2003-12-19,2003,12,19,T,16.3177,2140.0
4766946,ISLES OF SCILLY,300000,2003-11-25,2003,11,25,T,16.3177,2140.0
4766947,ISLES OF SCILLY,249950,2003-01-15,2003,1,15,F,16.3177,2140.0
4766948,ISLES OF SCILLY,385000,2003-08-07,2003,8,7,D,16.3177,2140.0
4766949,ISLES OF SCILLY,550000,2003-05-30,2003,5,30,F,16.3177,2140.0
4766950,ISLES OF SCILLY,270000,2003-10-31,2003,10,31,D,16.3177,2140.0
4766951,ISLES OF SCILLY,335000,2003-08-07,2003,8,7,S,16.3177,2140.0
4766952,ISLES OF SCILLY,185000,2003-11-12,2003,11,12,F,16.3177,2140.0
4766953,ISLES OF SCILLY,250000,2003-05-23,2003,5,23,F,16.3177,2140.0
4766954,ISLES OF SCILLY,200000,2003-05-30,2003,5,30,F,16.3177,2140.0
4766955,ISLES OF SCILLY,499000,2003-06-13,2003,6,13,D,16.3177,2140.0
4766956,ISLES OF SCILLY,425000,2003-12-12,2003,12,12,D,16.3177,2140.0
4766957,ISLES OF SCILLY,450000,2003-07-11,2003,7,11,D,16.3177,2140.0
4766958,ISLES OF SCILLY,80000,2003-12-22,2003,12,22,T,16.3177,2140.0
4766959,ISLES OF SCILLY,250000,2003-03-28,2003,3,28,F,16.3177,2140.0
4766960,ISLES OF SCILLY,355000,2003-09-26,2003,9,26,S,16.3177,2140.0
4766961,ISLES OF SCILLY,127500,2003-11-07,2003,11,7,F,16.3177,2140.0
4766962,ISLES OF SCILLY,425000,2003-11-18,2003,11,18,D,16.3177,2140.0
4766963,ISLES OF SCILLY,325000,2004-01-23,2004,1,23,F,16.3177,2140.0
4766964,ISLES OF SCILLY,202500,2004-12-23,2004,12,23,F,16.3177,2140.0
4766965,ISLES OF SCILLY,250000,2004-07-16,2004,7,16,F,16.3177,2140.0
4766966,ISLES OF SCILLY,230000,2004-02-20,2004,2,20,F,16.3177,2140.0
4766967,ISLES OF SCILLY,335000,2004-02-10,2004,2,10,F,16.3177,2140.0
4766968,ISLES OF SCILLY,195000,2004-12-16,2004,12,16,F,16.3177,2140.0
4766969,ISLES OF SCILLY,340000,2004-11-30,2004,11,30,T,16.3177,2140.0
4766970,ISLES OF SCILLY,330000,2004-06-18,2004,6,18,F,16.3177,2140.0
4766971,ISLES OF SCILLY,490000,2004-08-12,2004,8,12,D,16.3177,2140.0
4766972,ISLES OF SCILLY,400000,2004-12-16,2004,12,16,T,16.3177,2140.0
4766973,ISLES OF SCILLY,80000,2004-07-02,2004,7,2,F,16.3177,2140.0
4766974,ISLES OF SCILLY,400000,2004-12-08,2004,12,8,D,16.3177,2140.0
4766975,ISLES OF SCILLY,225000,2004-11-01,2004,11,1,F,16.3177,2140.0
4766976,ISLES OF SCILLY,533000,2004-01-30,2004,1,30,D,16.3177,2140.0
4766977,ISLES OF SCILLY,160000,2004-06-28,2004,6,28,F,16.3177,2140.0
4766978,ISLES OF SCILLY,96500,2004-01-30,2004,1,30,T,16.3177,2140.0
4766979,ISLES OF SCILLY,37725,2004-03-05,2004,3,5,D,16.3177,2140.0
4766980,ISLES OF SCILLY,407500,2004-12-17,2004,12,17,D,16.3177,2140.0
4766981,ISLES OF SCILLY,287500,2004-09-08,2004,9,8,T,16.3177,2140.0
4766982,ISLES OF SCILLY,125000,2004-08-02,2004,8,2,S,16.3177,2140.0
4766983,ISLES OF SCILLY,342000,2004-02-19,2004,2,19,S,16.3177,2140.0
4766984,ISLES OF SCILLY,240000,2004-09-08,2004,9,8,F,16.3177,2140.0
4766985,ISLES OF SCILLY,250000,2004-11-10,2004,11,10,F,16.3177,2140.0
4766986,ISLES OF SCILLY,320000,2004-02-10,2004,2,10,D,16.3177,2140.0
4766987,ISLES OF SCILLY,400000,2004-02-10,2004,2,10,D,16.3177,2140.0
4766988,ISLES OF SCILLY,220000,2005-11-01,2005,11,1,T,16.3177,2140.0
4766989,ISLES OF SCILLY,250000,2005-05-03,2005,5,3,F,16.3177,2140.0
4766990,ISLES OF SCILLY,250000,2005-11-01,2005,11,1,F,16.3177,2140.0
4766991,ISLES OF SCILLY,445000,2005-09-02,2005,9,2,T,16.3177,2140.0
4766992,ISLES OF SCILLY,345000,2005-09-28,2005,9,28,F,16.3177,2140.0
4766993,ISLES OF SCILLY,299500,2005-11-01,2005,11,1,F,16.3177,2140.0
4766994,ISLES OF SCILLY,360000,2005-11-01,2005,11,1,T,16.3177,2140.0
4766995,ISLES OF SCILLY,247500,2005-11-23,2005,11,23,F,16.3177,2140.0
4766996,ISLES OF SCILLY,158000,2005-11-23,2005,11,23,F,16.3177,2140.0
4766997,ISLES OF SCILLY,280000,2005-03-15,2005,3,15,F,16.3177,2140.0
4766998,ISLES OF SCILLY,490000,2005-07-12,2005,7,12,T,16.3177,2140.0
4766999,ISLES OF SCILLY,401250,2005-09-30,2005,9,30,D,16.3177,2140.0
4767000,ISLES OF SCILLY,340000,2005-11-04,2005,11,4,T,16.3177,2140.0
4767001,ISLES OF SCILLY,218000,2005-01-25,2005,1,25,F,16.3177,2140.0
4767002,ISLES OF SCILLY,280000,2005-11-04,2005,11,4,T,16.3177,2140.0
4767003,ISLES OF SCILLY,505000,2006-10-09,2006,10,9,D,16.3177,2140.0
4767004,ISLES OF SCILLY,435000,2006-01-11,2006,1,11,D,16.3177,2140.0
4767005,ISLES OF SCILLY,148000,2006-03-17,2006,3,17,F,16.3177,2140.0
4767006,ISLES OF SCILLY,295000,2006-03-06,2006,3,6,D,16.3177,2140.0
4767007,ISLES OF SCILLY,545000,2006-10-30,2006,10,30,D,16.3177,2140.0
4767008,ISLES OF SCILLY,210000,2006-09-20,2006,9,20,F,16.3177,2140.0
4767009,ISLES OF SCILLY,425000,2006-11-01,2006,11,1,S,16.3177,2140.0
4767010,ISLES OF SCILLY,437500,2006-10-03,2006,10,3,T,16.3177,2140.0
4767011,ISLES OF SCILLY,420000,2006-12-05,2006,12,5,F,16.3177,2140.0
4767012,ISLES OF SCILLY,189950,2006-06-26,2006,6,26,F,16.3177,2140.0
4767013,ISLES OF SCILLY,470000,2006-11-17,2006,11,17,F,16.3177,2140.0
4767014,ISLES OF SCILLY,750000,2006-11-15,2006,11,15,D,16.3177,2140.0
4767015,ISLES OF SCILLY,365000,2006-01-13,2006,1,13,S,16.3177,2140.0
4767016,ISLES OF SCILLY,287500,2006-08-10,2006,8,10,S,16.3177,2140.0
4767017,ISLES OF SCILLY,390000,2006-03-30,2006,3,30,S,16.3177,2140.0
4767018,ISLES OF SCILLY,335000,2006-12-15,2006,12,15,F,16.3177,2140.0
4767019,ISLES OF SCILLY,240000,2006-12-12,2006,12,12,F,16.3177,2140.0
4767020,ISLES OF SCILLY,285000,2006-08-22,2006,8,22,F,16.3177,2140.0
4767021,ISLES OF SCILLY,275000,2006-10-23,2006,10,23,F,16.3177,2140.0
4767022,ISLES OF SCILLY,485000,2006-05-24,2006,5,24,T,16.3177,2140.0
4767023,ISLES OF SCILLY,439635,2006-09-29,2006,9,29,T,16.3177,2140.0
4767024,ISLES OF SCILLY,200000,2006-10-10,2006,10,10,D,16.3177,2140.0
4767025,ISLES OF SCILLY,275000,2006-11-17,2006,11,17,F,16.3177,2140.0
4767026,ISLES OF SCILLY,600000,2006-03-31,2006,3,31,D,16.3177,2140.0
4767027,ISLES OF SCILLY,475000,2006-01-12,2006,1,12,T,16.3177,2140.0
4767028,ISLES OF SCILLY,480000,2006-11-10,2006,11,10,D,16.3177,2140.0
4767029,ISLES OF SCILLY,430000,2007-01-31,2007,1,31,D,16.3177,2140.0
4767030,ISLES OF SCILLY,1375000,2007-10-19,2007,10,19,D,16.3177,2140.0
4767031,ISLES OF SCILLY,185000,2007-10-19,2007,10,19,F,16.3177,2140.0
4767032,ISLES OF SCILLY,248000,2007-01-19,2007,1,19,F,16.3177,2140.0
4767033,ISLES OF SCILLY,430000,2007-10-31,2007,10,31,T,16.3177,2140.0
4767034,ISLES OF SCILLY,265000,2007-11-28,2007,11,28,F,16.3177,2140.0
4767035,ISLES OF SCILLY,250000,2007-10-18,2007,10,18,F,16.3177,2140.0
4767036,ISLES OF SCILLY,355000,2007-01-19,2007,1,19,D,16.3177,2140.0
4767037,ISLES OF SCILLY,270000,2007-02-07,2007,2,7,F,16.3177,2140.0
4767038,ISLES OF SCILLY,295000,2007-03-09,2007,3,9,F,16.3177,2140.0
4767039,ISLES OF SCILLY,250000,2007-03-29,2007,3,29,D,16.3177,2140.0
4767040,ISLES OF SCILLY,590000,2007-08-30,2007,8,30,T,16.3177,2140.0
4767041,ISLES OF SCILLY,350000,2007-04-20,2007,4,20,T,16.3177,2140.0
4767042,ISLES OF SCILLY,215000,2007-11-06,2007,11,6,F,16.3177,2140.0
4767043,ISLES OF SCILLY,195000,2007-07-31,2007,7,31,F,16.3177,2140.0
4767044,ISLES OF SCILLY,620000,2007-03-01,2007,3,1,D,16.3177,2140.0
4767045,ISLES OF SCILLY,450000,2007-11-08,2007,11,8,D,16.3177,2140.0
4767046,ISLES OF SCILLY,379000,2007-10-26,2007,10,26,F,16.3177,2140.0
4767047,ISLES OF SCILLY,245000,2007-09-03,2007,9,3,F,16.3177,2140.0
4767048,ISLES OF SCILLY,350000,2007-09-12,2007,9,12,T,16.3177,2140.0
4767049,ISLES OF SCILLY,495000,2007-03-05,2007,3,5,D,16.3177,2140.0
4767050,ISLES OF SCILLY,230000,2008-07-31,2008,7,31,F,16.3177,2140.0
4767051,ISLES OF SCILLY,185000,2008-02-22,2008,2,22,F,16.3177,2140.0
4767052,ISLES OF SCILLY,425000,2008-01-15,2008,1,15,S,16.3177,2140.0
4767053,ISLES OF SCILLY,275000,2008-02-01,2008,2,1,F,16.3177,2140.0
4767054,ISLES OF SCILLY,650000,2008-03-04,2008,3,4,T,16.3177,2140.0
4767055,ISLES OF SCILLY,230000,2008-10-22,2008,10,22,F,16.3177,2140.0
4767056,ISLES OF SCILLY,295000,2008-04-04,2008,4,4,F,16.3177,2140.0
4767057,ISLES OF SCILLY,390000,2008-07-08,2008,7,8,T,16.3177,2140.0
4767058,ISLES OF SCILLY,480000,2009-09-18,2009,9,18,T,16.3177,2140.0
4767059,ISLES OF SCILLY,555000,2009-02-09,2009,2,9,D,16.3177,2140.0
4767060,ISLES OF SCILLY,450000,2009-02-27,2009,2,27,T,16.3177,2140.0
4767061,ISLES OF SCILLY,700000,2009-07-03,2009,7,3,T,16.3177,2140.0
4767062,ISLES OF SCILLY,325000,2009-04-24,2009,4,24,F,16.3177,2140.0
4767063,ISLES OF SCILLY,335000,2009-03-05,2009,3,5,T,16.3177,2140.0
4767064,ISLES OF SCILLY,760000,2009-07-03,2009,7,3,T,16.3177,2140.0
4767065,ISLES OF SCILLY,215000,2009-07-31,2009,7,31,T,16.3177,2140.0
4767066,ISLES OF SCILLY,313000,2009-03-30,2009,3,30,T,16.3177,2140.0
4767067,ISLES OF SCILLY,180000,2009-10-16,2009,10,16,D,16.3177,2140.0
4767068,ISLES OF SCILLY,495000,2009-02-09,2009,2,9,T,16.3177,2140.0
4767069,ISLES OF SCILLY,230000,2009-07-24,2009,7,24,F,16.3177,2140.0
4767070,ISLES OF SCILLY,240000,2009-09-17,2009,9,17,F,16.3177,2140.0
4767071,ISLES OF SCILLY,225000,2009-12-07,2009,12,7,F,16.3177,2140.0
4767072,ISLES OF SCILLY,360000,2010-09-24,2010,9,24,D,16.3177,2140.0
4767073,ISLES OF SCILLY,500000,2010-10-06,2010,10,6,T,16.3177,2140.0
4767074,ISLES OF SCILLY,659000,2010-10-29,2010,10,29,S,16.3177,2140.0
4767075,ISLES OF SCILLY,242000,2010-10-29,2010,10,29,S,16.3177,2140.0
4767076,ISLES OF SCILLY,415000,2010-07-19,2010,7,19,D,16.3177,2140.0
4767077,ISLES OF SCILLY,300000,2010-07-23,2010,7,23,T,16.3177,2140.0
4767078,ISLES OF SCILLY,190000,2010-11-30,2010,11,30,T,16.3177,2140.0
4767079,ISLES OF SCILLY,183000,2010-06-30,2010,6,30,F,16.3177,2140.0
4767080,ISLES OF SCILLY,425000,2010-08-03,2010,8,3,S,16.3177,2140.0
4767081,ISLES OF SCILLY,191000,2010-01-20,2010,1,20,F,16.3177,2140.0
4767082,ISLES OF SCILLY,305000,2010-08-13,2010,8,13,F,16.3177,2140.0
7619940,ISLES OF SCILLY,495000,2011-09-28,2011,9,28,T,16.3177,
7619941,ISLES OF SCILLY,217500,2011-03-22,2011,3,22,F,16.3177,
7619942,ISLES OF SCILLY,515000,2011-08-19,2011,8,19,T,16.3177,
7619943,ISLES OF SCILLY,225000,2011-10-26,2011,10,26,T,16.3177,
7619944,ISLES OF SCILLY,345000,2011-03-23,2011,3,23,T,16.3177,
7619945,ISLES OF SCILLY,420000,2011-08-17,2011,8,17,S,16.3177,
7619946,ISLES OF SCILLY,220000,2011-10-31,2011,10,31,F,16.3177,
7619947,ISLES OF SCILLY,335000,2011-04-01,2011,4,1,S,16.3177,
7619948,ISLES OF SCILLY,194500,2011-02-18,2011,2,18,F,16.3177,
7619949,ISLES OF SCILLY,175000,2011-05-27,2011,5,27,T,16.3177,
7619950,ISLES OF SCILLY,355000,2011-06-23,2011,6,23,D,16.3177,
7619951,ISLES OF SCILLY,425000,2011-06-17,2011,6,17,F,16.3177,
7619952,ISLES OF SCILLY,385000,2011-10-31,2011,10,31,T,16.3177,
7619953,ISLES OF SCILLY,200000,2011-06-24,2011,6,24,F,16.3177,
7619954,ISLES OF SCILLY,315000,2011-10-03,2011,10,3,D,16.3177,
7619955,ISLES OF SCILLY,720000,2011-04-20,2011,4,20,D,16.3177,
7619956,ISLES OF SCILLY,244601,2011-01-07,2011,1,7,T,16.3177,
7619957,ISLES OF SCILLY,335000,2012-10-24,2012,10,24,D,16.3177,
7619958,ISLES OF SCILLY,385000,2012-11-21,2012,11,21,D,16.3177,
7619959,ISLES OF SCILLY,250000,2012-11-16,2012,11,16,D,16.3177,
7619960,ISLES OF SCILLY,330000,2012-07-18,2012,7,18,D,16.3177,
7619961,ISLES OF SCILLY,735000,2012-01-27,2012,1,27,D,16.3177,
7619962,ISLES OF SCILLY,250000,2012-01-12,2012,1,12,D,16.3177,
7619963,ISLES OF SCILLY,377500,2012-08-31,2012,8,31,T,16.3177,
7619964,ISLES OF SCILLY,365000,2012-02-09,2012,2,9,T,16.3177,
7619965,ISLES OF SCILLY,445000,2012-02-08,2012,2,8,T,16.3177,
7619966,ISLES OF SCILLY,375000,2012-10-16,2012,10,16,T,16.3177,
7619967,ISLES OF SCILLY,233500,2012-07-18,2012,7,18,D,16.3177,
7619968,ISLES OF SCILLY,325000,2012-08-06,2012,8,6,F,16.3177,
7619969,ISLES OF SCILLY,340000,2012-08-17,2012,8,17,D,16.3177,
7619970,ISLES OF SCILLY,125000,2013-11-29,2013,11,29,F,16.3177,
7619971,ISLES OF SCILLY,495000,2013-03-28,2013,3,28,D,16.3177,
7619972,ISLES OF SCILLY,500000,2013-08-16,2013,8,16,D,16.3177,
7619973,ISLES OF SCILLY,362500,2013-05-24,2013,5,24,S,16.3177,
7619974,ISLES OF SCILLY,625000,2013-10-09,2013,10,9,S,16.3177,
7619975,ISLES OF SCILLY,208000,2013-05-09,2013,5,9,S,16.3177,
7619976,ISLES OF SCILLY,275000,2013-04-05,2013,4,5,F,16.3177,
7619977,ISLES OF SCILLY,205000,2013-10-02,2013,10,2,F,16.3177,
7619978,ISLES OF SCILLY,249950,2013-04-18,2013,4,18,S,16.3177,
7619979,ISLES OF SCILLY,310000,2013-11-29,2013,11,29,S,16.3177,
7619980,ISLES OF SCILLY,240000,2013-11-19,2013,11,19,T,16.3177,
7619981,ISLES OF SCILLY,367500,2013-10-18,2013,10,18,O,16.3177,
7619982,ISLES OF SCILLY,460000,2014-06-20,2014,6,20,S,16.3177,
7619983,ISLES OF SCILLY,325000,2014-11-14,2014,11,14,T,16.3177,
7619984,ISLES OF SCILLY,228000,2014-12-12,2014,12,12,F,16.3177,
7619985,ISLES OF SCILLY,235000,2014-03-12,2014,3,12,T,16.3177,
7619986,ISLES OF SCILLY,195000,2014-12-08,2014,12,8,F,16.3177,
7619987,ISLES OF SCILLY,399500,2014-06-13,2014,6,13,F,16.3177,
7619988,ISLES OF SCILLY,550000,2014-11-28,2014,11,28,D,16.3177,
7619989,ISLES OF SCILLY,270000,2014-05-09,2014,5,9,S,16.3177,
7619990,ISLES OF SCILLY,200000,2014-09-10,2014,9,10,T,16.3177,
7619991,ISLES OF SCILLY,170000,2014-10-23,2014,10,23,F,16.3177,
7619992,ISLES OF SCILLY,458000,2014-10-24,2014,10,24,T,16.3177,
7619993,ISLES OF SCILLY,235000,2014-09-24,2014,9,24,F,16.3177,
7619994,ISLES OF SCILLY,355000,2014-11-12,2014,11,12,D,16.3177,
7619995,ISLES OF SCILLY,165000,2014-03-17,2014,3,17,F,16.3177,
7619996,ISLES OF SCILLY,173500,2014-12-15,2014,12,15,D,16.3177,
7619997,ISLES OF SCILLY,381000,2014-10-03,2014,10,3,S,16.3177,
7619998,ISLES OF SCILLY,222500,2014-12-09,2014,12,9,F,16.3177,
7619999,ISLES OF SCILLY,460000,2014-11-12,2014,11,12,D,16.3177,
7620000,ISLES OF SCILLY,247500,2014-08-19,2014,8,19,O,16.3177,
7620001,ISLES OF SCILLY,62500,2014-09-30,2014,9,30,F,16.3177,
7620002,ISLES OF SCILLY,290000,2015-01-06,2015,1,6,S,16.3177,
7620003,ISLES OF SCILLY,230000,2015-11-09,2015,11,9,F,16.3177,
7620004,ISLES OF SCILLY,211000,2015-12-01,2015,12,1,F,16.3177,
7620005,ISLES OF SCILLY,245000,2015-11-18,2015,11,18,T,16.3177,
7620006,ISLES OF SCILLY,270000,2015-05-01,2015,5,1,S,16.3177,
7620007,ISLES OF SCILLY,39500,2015-08-11,2015,8,11,D,16.3177,
7620008,ISLES OF SCILLY,495000,2015-06-12,2015,6,12,D,16.3177,
7620009,ISLES OF SCILLY,225000,2015-10-19,2015,10,19,F,16.3177,
7620010,ISLES OF SCILLY,395000,2015-12-11,2015,12,11,D,16.3177,
7620011,ISLES OF SCILLY,265000,2015-12-09,2015,12,9,F,16.3177,
7620012,ISLES OF SCILLY,340000,2015-05-22,2015,5,22,F,16.3177,
7620013,ISLES OF SCILLY,373500,2015-06-12,2015,6,12,D,16.3177,
7620014,ISLES OF SCILLY,45000,2015-11-17,2015,11,17,O,16.3177,
7620015,ISLES OF SCILLY,310000,2015-09-01,2015,9,1,D,16.3177,
7620016,ISLES OF SCILLY,275000,2015-08-27,2015,8,27,D,16.3177,
7620017,ISLES OF SCILLY,1555496,2015-04-24,2015,4,24,O,16.3177,
7620018,ISLES OF SCILLY,200000,2015-10-07,2015,10,7,F,16.3177,
7620019,ISLES OF SCILLY,345000,2015-07-07,2015,7,7,T,16.3177,
7620020,ISLES OF SCILLY,315000,2015-10-23,2015,10,23,T,16.3177,
7620021,ISLES OF SCILLY,221000,2015-10-30,2015,10,30,F,16.3177,
7620022,ISLES OF SCILLY,410000,2015-11-18,2015,11,18,T,16.3177,
7620023,ISLES OF SCILLY,380000,2016-03-24,2016,3,24,T,16.3177,
7620024,ISLES OF SCILLY,178000,2016-03-07,2016,3,7,F,16.3177,
