,Month,Year,Old/New,Name
0,1,2001,N,31282
0,1,2002,N,34658
0,1,2004,N,42543
0,1,2005,N,25664
0,1,2006,N,34602
0,1,2007,N,40806
0,1,2010,N,16190
0,1,2011,N,17315
0,1,2012,N,19651
0,1,2013,N,19546
0,1,2014,N,31478
0,1,2015,N,27628
0,1,2016,N,29847
0,1,2017,N,29617
1,1,2001,Y,2568
1,1,2002,Y,2648
1,1,2004,Y,3009
1,1,2005,Y,3069
1,1,2006,Y,3832
1,1,2007,Y,3663
1,1,2010,Y,1701
1,1,2011,Y,1441
1,1,2012,Y,1670
1,1,2013,Y,1609
1,1,2014,Y,2394
1,1,2015,Y,2309
1,1,2016,Y,3189
1,1,2017,Y,3269
10,6,2001,N,50888
10,6,2002,N,46753
10,6,2004,N,54467
10,6,2005,N,40925
10,6,2006,N,53499
10,6,2007,N,55304
10,6,2010,N,26146
10,6,2011,N,24086
10,6,2012,N,24429
10,6,2013,N,26704
10,6,2014,N,35583
10,6,2015,N,37404
10,6,2016,N,33342
10,6,2017,N,13479
11,6,2001,Y,7213
11,6,2002,Y,6726
11,6,2004,Y,7679
11,6,2005,Y,7688
11,6,2006,Y,9213
11,6,2007,Y,7660
11,6,2010,Y,3815
11,6,2011,Y,3887
11,6,2012,Y,4339
11,6,2013,Y,5323
11,6,2014,Y,6165
11,6,2015,Y,7330
11,6,2016,Y,7348
11,6,2017,Y,104
12,7,2001,N,53768
12,7,2002,N,59613
12,7,2004,N,61055
12,7,2005,N,45800
12,7,2006,N,52375
12,7,2007,N,54643
12,7,2010,N,29947
12,7,2011,N,27866
12,7,2012,N,26410
12,7,2013,N,32885
12,7,2014,N,39574
12,7,2015,N,43612
12,7,2016,N,37554
13,7,2001,Y,4467
13,7,2002,Y,5012
13,7,2004,Y,5168
13,7,2005,Y,5109
13,7,2006,Y,5347
13,7,2007,Y,4129
13,7,2010,Y,2355
13,7,2011,Y,2113
13,7,2012,Y,2016
13,7,2013,Y,2563
13,7,2014,Y,3429
13,7,2015,Y,4053
13,7,2016,Y,4627
14,8,2001,N,58262
14,8,2002,N,59552
14,8,2004,N,51621
14,8,2005,N,44418
14,8,2006,N,55738
14,8,2007,N,58229
14,8,2010,N,27216
14,8,2011,N,28951
14,8,2012,N,28297
14,8,2013,N,34777
14,8,2014,N,40872
14,8,2015,N,38882
14,8,2016,N,38353
15,8,2001,Y,5060
15,8,2002,Y,5223
15,8,2004,Y,4779
15,8,2005,Y,4825
15,8,2006,Y,5068
15,8,2007,Y,3698
15,8,2010,Y,2172
15,8,2011,Y,2118
15,8,2012,Y,2415
15,8,2013,Y,3266
15,8,2014,Y,3335
15,8,2015,Y,4039
15,8,2016,Y,5180
16,9,2001,N,45585
16,9,2002,N,48779
16,9,2004,N,44299
16,9,2005,N,44396
16,9,2006,N,52563
16,9,2007,N,46006
16,9,2010,N,24806
16,9,2011,N,27644
16,9,2012,N,22532
16,9,2013,N,30714
16,9,2014,N,36161
16,9,2015,N,38106
16,9,2016,N,37140
17,9,2001,Y,4510
17,9,2002,Y,4941
17,9,2004,Y,5037
17,9,2005,Y,5716
17,9,2006,Y,5781
17,9,2007,Y,3867
17,9,2010,Y,2754
17,9,2011,Y,2674
17,9,2012,Y,2779
17,9,2013,Y,3471
17,9,2014,Y,3837
17,9,2015,Y,4704
17,9,2016,Y,5765
18,10,2001,N,49452
18,10,2002,N,49663
18,10,2004,N,42435
18,10,2005,N,40948
18,10,2006,N,51289
18,10,2007,N,47475
18,10,2010,N,25934
18,10,2011,N,25530
18,10,2012,N,25429
18,10,2013,N,35372
18,10,2014,N,39868
18,10,2015,N,42089
18,10,2016,N,34972
19,10,2001,Y,4454
19,10,2002,Y,4809
19,10,2004,Y,4817
19,10,2005,Y,5109
19,10,2006,Y,5244
19,10,2007,Y,4297
19,10,2010,Y,2296
19,10,2011,Y,2232
19,10,2012,Y,2472
19,10,2013,Y,3323
19,10,2014,Y,3846
19,10,2015,Y,4744
19,10,2016,Y,5422
2,2,2001,N,31379
2,2,2002,N,36842
2,2,2004,N,41507
2,2,2005,N,26333
2,2,2006,N,35223
2,2,2007,N,40523
2,2,2010,N,18791
2,2,2011,N,17599
2,2,2012,N,19761
2,2,2013,N,20049
2,2,2014,N,30387
2,2,2015,N,27554
2,2,2016,N,32067
2,2,2017,N,29926
20,11,2001,N,51360
20,11,2002,N,51963
20,11,2004,N,37117
20,11,2005,N,41948
20,11,2006,N,52490
20,11,2007,N,46933
20,11,2010,N,24586
20,11,2011,N,26037
20,11,2012,N,27369
20,11,2013,N,38119
20,11,2014,N,33655
20,11,2015,N,38153
20,11,2016,N,36339
21,11,2001,Y,5103
21,11,2002,Y,5363
21,11,2004,Y,4788
21,11,2005,Y,5138
21,11,2006,Y,5628
21,11,2007,Y,4151
21,11,2010,Y,2553
21,11,2011,Y,2780
21,11,2012,Y,2736
21,11,2013,Y,3807
21,11,2014,Y,3860
21,11,2015,Y,4398
21,11,2016,Y,5788
22,12,2001,N,41213
22,12,2002,N,45981
22,12,2004,N,34847
22,12,2005,N,44011
22,12,2006,N,52612
22,12,2007,N,35880
22,12,2010,N,23989
22,12,2011,N,26599
22,12,2012,N,22958
22,12,2013,N,34878
22,12,2014,N,34581
22,12,2015,N,38185
22,12,2016,N,37217
23,12,2001,Y,6655
23,12,2002,Y,7133
23,12,2004,Y,7752
23,12,2005,Y,8917
23,12,2006,Y,8930
23,12,2007,Y,5504
23,12,2010,Y,3284
