Month,Year,Old/New,Name
1,2001,N,31282
1,2002,N,34658
1,2004,N,42543
1,2005,N,25664
1,2006,N,34602
1,2007,N,40806
1,2010,N,16190
1,2011,N,17315
1,2012,N,19651
1,2013,N,19546
1,2014,N,31478
1,2015,N,27628
1,2016,N,29847
1,2017,N,29617
1,2001,Y,2568
1,2002,Y,2648
1,2004,Y,3009
1,2005,Y,3069
1,2006,Y,3832
1,2007,Y,3663
1,2010,Y,1701
1,2011,Y,1441
1,2012,Y,1670
1,2013,Y,1609
1,2014,Y,2394
1,2015,Y,2309
1,2016,Y,3189
1,2017,Y,3269
6,2001,N,50888
6,2002,N,46753
6,2004,N,54467
6,2005,N,40925
6,2006,N,53499
6,2007,N,55304
6,2010,N,26146
6,2011,N,24086
6,2012,N,24429
6,2013,N,26704
6,2014,N,35583
6,2015,N,37404
6,2016,N,33342
6,2017,N,13479
6,2001,Y,7213
6,2002,Y,6726
6,2004,Y,7679
6,2005,Y,7688
6,2006,Y,9213
6,2007,Y,7660
6,2010,Y,3815
6,2011,Y,3887
6,2012,Y,4339
6,2013,Y,5323
6,2014,Y,6165
6,2015,Y,7330
6,2016,Y,7348
6,2017,Y,104
7,2001,N,53768
7,2002,N,59613
7,2004,N,61055
7,2005,N,45800
7,2006,N,52375
7,2007,N,54643
7,2010,N,29947
7,2011,N,27866
7,2012,N,26410
7,2013,N,32885
7,2014,N,39574
7,2015,N,43612
7,2016,N,37554
7,2001,Y,4467
7,2002,Y,5012
7,2004,Y,5168
7,2005,Y,5109
7,2006,Y,5347
7,2007,Y,4129
7,2010,Y,2355
7,2011,Y,2113
7,2012,Y,2016
7,2013,Y,2563
7,2014,Y,3429
7,2015,Y,4053
7,2016,Y,4627
8,2001,N,58262
8,2002,N,59552
8,2004,N,51621
8,2005,N,44418
8,2006,N,55738
8,2007,N,58229
8,2010,N,27216
8,2011,N,28951
8,2012,N,28297
8,2013,N,34777
8,2014,N,40872
8,2015,N,38882
8,2016,N,38353
8,2001,Y,5060
